Product_Name,Size,Milk,Whip,Serving_Size_ml,Calories,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbohydrates_g,Dietary_Fiber_g,Sugar_g,Protein_g,Vitamin_A_%DV,Vitamin_C_%DV,Calcium_%DV,Iron_%DV,Caffiene_mg
Brewed Coffee - Dark Roast,Short,No Milk,No Whip,236.0,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,130.0
Brewed Coffee - Dark Roast,Tall,No Milk,No Whip,354.0,4.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,193.0
Brewed Coffee - Dark Roast,Grande,No Milk,No Whip,473.0,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,260.0
Brewed Coffee - Dark Roast,Venti®,No Milk,No Whip,591.0,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,340.0
Brewed Coffee Traveler - Dark Roast,1 - 236 mL serving,No Milk,No Whip,236.0,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,130.0
Brewed Coffee - Decaf Pike Place® Roast,Short,No Milk,No Whip,236.0,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,15.0
Brewed Coffee - Decaf Pike Place® Roast,Tall,No Milk,No Whip,354.0,4.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20.0
Brewed Coffee - Decaf Pike Place® Roast,Grande,No Milk,No Whip,473.0,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0
Brewed Coffee - Decaf Pike Place® Roast,Venti®,No Milk,No Whip,591.0,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0
Brewed Coffee Traveler - Decaf Pike Place® Roast,1 - 236 mL serving,No Milk,No Whip,236.0,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,15.0
Brewed Coffee - Medium Roast,Short,No Milk,No Whip,236.0,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,155.0
Brewed Coffee - Medium Roast,Tall,No Milk,No Whip,354.0,4.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,235.0
Brewed Coffee - Medium Roast,Grande,No Milk,No Whip,473.0,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,310.0
Brewed Coffee - Medium Roast,Venti®,No Milk,No Whip,591.0,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,410.0
Brewed Coffee - True North Blend Blonde Roast,Short,No Milk,No Whip,236.0,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,180.0
Brewed Coffee - True North Blend Blonde Roast,Tall,No Milk,No Whip,354.0,4.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,270.0
Brewed Coffee - True North Blend Blonde Roast,Grande,No Milk,No Whip,473.0,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,360.0
Brewed Coffee - True North Blend Blonde Roast,Venti®,No Milk,No Whip,591.0,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,475.0
Caffè Misto,Short,Nonfat,No Whip,236.0,35.0,0.1,0.1,0.0,0.0,45.0,5.0,0.0,5.0,4.0,6.0,0.0,10.0,0.0,75.0
Caffè Misto,Short,2%,No Whip,236.0,50.0,2.0,1.0,0.1,10.0,50.0,5.0,0.0,5.0,4.0,6.0,0.0,10.0,0.0,75.0
Caffè Misto,Short,Whole,No Whip,236.0,70.0,3.5,2.0,0.1,10.0,50.0,5.0,0.0,5.0,3.0,4.0,0.0,10.0,0.0,75.0
Caffè Misto,Short,Soy,No Whip,236.0,40.0,1.5,0.2,0.0,0.0,40.0,3.0,0.0,2.0,3.0,4.0,0.0,10.0,6.0,75.0
Caffè Misto,Tall,Nonfat,No Whip,354.0,60.0,0.2,0.1,0.0,5.0,70.0,8.0,0.0,8.0,6.0,10.0,0.0,20.0,0.0,115.0
Caffè Misto,Tall,2%,No Whip,354.0,80.0,3.0,1.5,0.1,15.0,80.0,8.0,0.0,8.0,5.0,8.0,0.0,20.0,0.0,115.0
Caffè Misto,Tall,Whole,No Whip,354.0,100.0,5.0,3.0,0.2,15.0,70.0,8.0,0.0,8.0,5.0,8.0,0.0,15.0,0.0,115.0
Caffè Misto,Tall,Soy,No Whip,354.0,60.0,2.5,0.3,0.0,0.0,60.0,5.0,1.0,4.0,4.0,6.0,0.0,20.0,8.0,115.0
Caffè Misto,Tall,Coconut,No Whip,354.0,60.0,3.5,3.5,0.0,0.0,70.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,115.0
Caffè Misto,Grande,Nonfat,No Whip,473.0,70.0,0.2,0.1,0.0,5.0,90.0,10.0,0.0,10.0,7.0,15.0,0.0,25.0,0.0,150.0
